data_venda,cliente,loja,produto,categoria,quantidade,preco_unitario,custo_unitario,cidade,estado,regiao,forma_pagamento
2023-04-15,Cliente 174,Loja Oeste,Mouse,Eletrônicos,5,894.88,484.9,São Paulo,SP,sudeste,Boleto
2023-01-28,Cliente 144,Loja Norte,Notebook,Eletrônicos,2,804.3,524.09,São Paulo,SP,centro-oeste,Boleto
2023-06-13,Cliente 179,Loja Leste,Monitor,Eletrônicos,10,1009.76,768.22,Fortaleza,CE,Nordeste,Pix
2024-01-03,Cliente 89,Loja Oeste,Teclado,Eletrônicos,6,402.63,247.21,Curitiba,PR,SUL,Crédito
2024-07-19,Cliente 76,Loja Oeste,Celular,Eletrônicos,2,3407.25,2090.55,Brasília,DF,Nordeste,Débito
2023-08-27,Cliente 26,Loja Leste,Mouse,Eletrônicos,4,2717.09,2161.63,São Paulo,SP,SUL,Boleto
2024-12-19,Cliente 175,Loja Centro,Mesa,Móveis,6,1275.68,894.32,Belo Horizonte,MG,CENTRO-OESTE,Débito
2024-10-17,Cliente 177,Loja Oeste,Fone de Ouvido,Acessórios,3,1644.8,955.6,Curitiba,PR,Sul,Pix
2023-03-09,Cliente 55,Loja Oeste,Notebook,Eletrônicos,1,2827.41,1753.98,Curitiba,PR,Nordeste,Débito
2024-07-28,Cliente 138,Loja Sul,Celular,Eletrônicos,8,542.91,294.2,Recife,PE,CENTRO-OESTE,Boleto
2024-06-05,Cliente 127,Loja Centro,Webcam,Acessórios,6,806.66,644.73,Recife,PE,Sudeste,Crédito
2024-09-02,Cliente 120,Loja Oeste,Teclado,Eletrônicos,7,2107.61,1297.09,Belo Horizonte,MG,SUL,Crédito
2023-10-28,Cliente 112,Loja Norte,Mouse,Eletrônicos,5,2701.67,1626.55,Brasília,DF,Centro-Oeste,Crédito
2024-10-02,Cliente 77,Loja Oeste,Cadeira,Móveis,3,1801.5,958.26,Brasília,DF,CENTRO-OESTE,Débito
2024-06-27,Cliente 1,Loja Oeste,Teclado,Eletrônicos,3,1910.86,1401.78,Salvador,BA,Nordeste,Boleto
2023-11-11,Cliente 62,Loja Centro,Notebook,Eletrônicos,6,3081.59,2309.65,Rio de Janeiro,RJ,Sul,Crédito
2023-05-09,Cliente 33,Loja Leste,Mouse,Eletrônicos,2,3424.05,2259.23,Fortaleza,CE,centro-oeste,Débito
2024-07-06,Cliente 194,Loja Norte,Cadeira,Móveis,10,1509.83,850.85,Brasília,DF,SUL,Boleto
2023-03-07,Cliente 87,Loja Centro,Mesa,Móveis,9,1607.63,923.38,Fortaleza,CE,CENTRO-OESTE,Débito
2023-08-23,Cliente 18,Loja Centro,Webcam,Acessórios,1,294.93,203.3,Curitiba,PR,Nordeste,Crédito
